text,category,gender,sleeve,season,fit,color,price
"Mẫu Váy maxi nữ tay lửng, ôm, hoa nhí, phong cách thời trang quanh năm, giá bán 200 nghìn.",Váy maxi,nữ,tay lửng,quanh năm,ôm,hoa nhí,200 nghìn
"Mẫu Áo thun nam tay dài, regular, màu be, phong cách thời trang mùa đông, giá bán 700 nghìn.",Áo thun,nam,tay dài,mùa đông,regular,màu be,700 nghìn
"Chiếc Áo hoodie dành cho nam kiểu tay dài, màu màu vàng, mặc mùa hè rất thoải mái, giá 400 nghìn.",Áo hoodie,nam,tay dài,mùa hè,regular,màu vàng,400 nghìn
"Mẫu Áo thun nam không tay, rộng, màu trắng, phong cách thời trang mùa thu, giá bán 700 nghìn.",Áo thun,nam,không tay,mùa thu,rộng,màu trắng,700 nghìn
"Chiếc Quần short dành cho nữ kiểu tay lửng, màu màu xám, mặc mùa thu rất thoải mái, giá hơn 600k.",Quần short,nữ,tay lửng,mùa thu,dáng rộng,màu xám,hơn 600k
"Váy maxi unisex tay ngắn màu tím, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 200 nghìn.",Váy maxi,unisex,tay ngắn,mùa hè,dáng suông,màu tím,200 nghìn
"Áo hoodie unisex kiểu slim màu vàng, thiết kế hợp xu hướng, dùng được mùa xuân, giá 400 nghìn.",Áo hoodie,unisex,tay dài,mùa xuân,slim,màu vàng,400 nghìn
"Chiếc Áo thun dành cho unisex kiểu không tay, màu màu xám, mặc quanh năm rất thoải mái, giá 400 nghìn.",Áo thun,unisex,không tay,quanh năm,regular,màu xám,400 nghìn
"Chiếc Quần short dành cho unisex kiểu tay dài, màu màu xám, mặc mùa thu rất thoải mái, giá 200 nghìn.",Quần short,unisex,tay dài,mùa thu,ôm,màu xám,200 nghìn
"Váy maxi unisex tay dài màu be, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 800 nghìn.",Váy maxi,unisex,tay dài,mùa hè,regular,màu be,800 nghìn
"Áo hoodie nữ không tay màu tím, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng 300 nghìn.",Áo hoodie,nữ,không tay,mùa đông,dáng suông,màu tím,300 nghìn
"Mẫu Váy nam tay ngắn, dáng rộng, màu vàng, phong cách thời trang mùa thu, giá bán hơn 600k.",Váy,nam,tay ngắn,mùa thu,dáng rộng,màu vàng,hơn 600k
